WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Wav ind,Entry wav,Exit wav,Bow
2022/12/9 01:47,PAGGEAG,,PAGGEAG0320,10.16,5.78,2.16,3.69,4.42,-1.39,-1.39,2.39,0.42,0.26,0.42,-0.6
,,,PAGGEAG0520,10.55,6.81,2.56,3.57,4.74,-0.74,1.11,1.69,0.29,0.28,0.26,-0.79
,,,PAGGEAG0720,10.93,5.29,1.72,3.26,3.68,0.82,1.13,1.13,0.54,0.23,0.16,-1.24
,,,PAGGEAG0920,10.29,5.89,2.03,3.46,4.09,1.5,1.57,1.78,0.39,0.36,0.29,-1.7
,,,PAGGEAG1108,11.89,7.89,1.34,2.71,2.83,3.92,5.14,5.14,0.49,0.17,0.53,-2.75
WSAWB20,TSM-QC-L8H,046*30.2*TM860 *New (P1) -245*Wire-01*0101*T203T204*22120703,PJBBKAA0120,10.79,9.98,2.03,4.94,4.94,-1.09,2.46,3.65,0.51,0.49,0.25,1.63
2022/12/8 11:21,PJBBKAA,,PJBBKAA0320,12.15,8.83,1.78,3.72,3.72,-1.08,1.61,3.48,0.75,0.39,0.43,1.52
,,,PJBBKAA0520,10.71,7.9,1.82,3.77,3.77,1.02,1.3,2.5,0.54,0.41,0.2,1.86
,,,PJBBKAA0720,11.46,7.12,0.92,2.73,2.73,0.64,0.97,1.61,0.57,0.33,0.36,0.57
,,,PJBBKAA0920,11.18,8.31,1.04,3.13,3.13,1.8,2.28,3.06,0.61,0.33,0.35,0.39
,,,PJBBKAA1120,11.52,8.22,-0.83,2.46,2.46,5.12,5.28,6.56,0.6,0.34,0.6,-1.92
WSAWB20,TSM-QC-L8H,045*29.7*TM860 *New (P1) -234*Wire-03*0105*T211T224*22120701,PJE0TAA0120,10.81,8.21,3.39,5.01,5.13,-1.86,2.69,3.65,1.1,0.51,0.35,-0.34
2022/12/7 20:03,PJE0TAA,,PJE0TAA0320,10.62,9.44,2.81,5.33,5.62,-1.33,2.23,3.13,0.68,0.68,0.36,-0.12
,,,PJE0TAA0520,11.24,11.88,2.64,5.1,5.48,1.15,1.59,3.34,1.16,0.71,0.62,-0.41
,,,PJE0TAA0720,11.56,12.47,1.84,3.59,3.65,-1.3,-1.86,2.4,1.18,0.58,0.37,-1.4
,,,PJE0TAA0920,13.24,10.48,1.56,2.82,2.89,1.64,2.21,2.22,0.95,0.43,0.32,-1.88
,,,PJE0TAA1120,12.82,12.04,-0.85,1.74,1.86,4.32,4.43,5.32,0.87,0.45,0.87,-3.59
WSAWB20,UMS-QC-07K,044*30.7*TM860 * A-763*Wire-02*0073*T211T224*22120602,PHH9BAA0120,9.78,7.49,2.98,3.49,3.49,-0.91,1.95,2.04,0.86,0.37,0.12,0.91
2022/12/7 05:03,PHH9BAA,,PHH9BAA0320,10.24,6.93,2.07,3,3,-0.83,1.72,2.38,0.82,0.26,0.23,1.42
,,,PHH9BAA0520,10.62,9.31,1.43,2.87,2.97,-0.91,1.75,2.25,1.23,0.17,0.37,1.89
,,,PHH9BAA0720,10.97,7.56,0.95,2.11,2.11,0.97,1.24,1.79,1,0.21,0.4,1.83
,,,PHH9BAA0920,12.2,7.04,-0.94,1.29,1.29,1.81,2.44,2.61,1.15,0.26,0.5,0.87
,,,PHH9BAA1108,11.21,6.56,-1.65,-1.66,-1.67,2.29,2.77,2.86,0.69,0.42,0.59,-2.12
WSAWB20,DEV-QC-57M,043*31.1*TM860 * A-755*Wire-01*0193*T211T224*22120502,PCILNAH0120,9.28,9.4,1.82,2.75,2.75,-1.21,1.75,2.65,1.31,0.25,0.4,2.92
2022/12/6 13:51,PCILNAH,,PCILNAH0320,11.15,9.69,1.07,2.1,2.26,-0.91,1.49,2.29,1.07,0.38,0.35,2.91
,,,PCILNAH0520,12.33,10.46,1.5,2.86,3.19,1.15,1.47,2.12,1.26,0.5,0.35,4.33
,,,PCILNAH0820,11.24,9.75,-0.78,2.01,2.66,0.68,1.08,1.08,1.02,0.48,0.31,3.71
,,,PCILNAH0920,12.29,9.31,-0.97,1.9,2.91,1.88,2.02,2.37,1.31,0.4,0.48,3.15
,,,PCILNAH1120,9.88,6.11,-1.46,2.1,2.28,1.88,2.21,2.21,0.59,0.4,0.47,0.92
WSAWB20,TSM-QX-S4F,041*33.8*TM860 * A-733*Wire-02*0113*T003T014*22120402,PID01AH0120,9.22,8.15,3.42,3.5,3.5,-1.22,-1.81,-1.81,0.57,0.57,0.33,-0.18
2022/12/5 08:26,PID01AH,,PID01AH0320,9.06,7.53,3.07,3.46,3.46,-1.6,-1.6,2.54,0.51,0.39,0.38,-0.5
,,,PID01AH0620,9.05,5.49,1.71,2.31,2.4,1.26,-1.49,1.9,0.32,0.24,0.27,-0.5
,,,PID01AH0820,8.76,5.68,1.3,1.41,1.41,1.71,1.75,1.75,0.39,0.21,0.34,-0.55
,,,PID01AH1120,8.32,5.07,-1.05,-1.63,-1.63,2.02,2.23,2.23,0.41,0.29,0.41,-0.71
,,,PID01AH1308,8.8,13.27,-1.48,-2.34,-3.23,6.43,7.93,7.93,0.82,0.56,0.82,-2.04
WSAWB20,UMC-QC-L2B,040*29.5*TM860 * A-723*Wire-01*0072*T003T014*22120401,PIB6FAN0120,9,7.88,5.08,6.57,7.42,-0.95,1.62,2.37,0.63,0.46,0.47,0.23
2022/12/4 17:15,PIB6FAN,,PIB6FAN0320,8.93,8.13,4.3,5.97,6.87,0.7,0.88,2.1,0.44,0.38,0.36,-0.4
,,,PIB6FAN0520,8.61,5.96,3.36,5.35,6.65,0.58,0.76,1.34,0.53,0.41,0.18,-0.32
,,,PIB6FAN0720,8.89,6.28,2.69,4.85,5.29,1.21,-1.33,-1.33,0.55,0.39,0.4,-0.91
,,,PIB6FAN0920,8.31,6.95,2.02,3.46,4.55,0.77,0.77,0.78,0.59,0.44,0.23,-1.29
